Country,Country Code,Year,"Exchange rate, new LCU per USD extended backward, period average,,","Exchange rate, old LCU per USD extended forward, period average,,","GDP,current LCU,millions,seas. adj.,","GDP,current US$,millions,seas. adj.,","Official exchange rate, LCU per USD, period average,,","Stock Markets, LCU,,,","Stock Markets, US$,,,","Unemployment rate,Percent,,,"
Egypt Arab Rep.,EGY,2020,15.81257552152,15.81257552152,6345000.0,401325.927138117,15.81257552152,104.12150221594,35.96956172863,7.95827174083
Estonia,EST,2015,0.9007476221,14.09395774038,21001.3,23314.895136442,14.09395774038,179.7000727514,139.96804714321,6.175
Estonia,EST,2016,0.90433493697,14.15062137253,22180.8,24529.3424872729,14.15062137253,204.74979085243,158.92864085498,6.775
Estonia,EST,2017,0.88690836099,13.8776516836,24287.2,27456.0834402844,13.8776516836,243.79892151423,193.73328907174,5.8
Estonia,EST,2018,0.84676949126,13.24951417511,26400.5,31182.1044130459,13.24951417511,259.12628863806,215.11488057168,5.375
Estonia,EST,2019,0.8930961998,13.97441945778,28441.1,31845.0298016593,13.97441945778,259.26953688953,203.72958993839,4.45
Estonia,EST,2020,0.87738382839,13.72856859511,27848.2,31805.7805571032,13.72856859511,251.24999075234,201.35711111421,6.8
Estonia,EST,2021,0.84518008154,13.2253405303,31408.9,37146.6571991265,13.2253405303,359.34948065157,297.89419705558,6.175
Estonia,EST,2022,0.95094414865,14.87988931865,36263.9,38151.0121851201,14.87988931865,379.12552186951,281.00564901482,5.6
Estonia,EST,2023,0.92466452082,14.46870708894,38350.1,41475.1142043022,14.46870708894,385.47818128018,292.65253307595,6.4
Estonia,EST,2024,0.92438891162,14.46458788192,39828.2,43088.6408122041,14.46458788192,363.97814021808,276.43531925422,7.5
Estonia,EST,2025,0.8924481679372728,13.964563048182727,13769.0,15046.240654470368,13.964563048182727,407.6721464919419,321.68724009299,7.95
Finland,FIN,2015,0.9007476221,5.35571955367,210192.0,233359.602660902,5.35571955367,128.76371699195,100.20510089871,9.46305489446
Finland,FIN,2016,0.90433493697,5.37733454285,215717.0,238593.859582963,5.37733454285,124.18125012146,96.322424254,8.91340242035
Finland,FIN,2017,0.88690836099,5.27356063754,224706.0,253948.386534182,5.27356063754,143.13321917353,113.56479580257,8.74948599
Finland,FIN,2018,0.84676949126,5.03490682077,231905.0,274044.823419873,5.03490682077,148.16361209983,122.89486816524,7.3967084251
Finland,FIN,2019,0.8930961998,5.31034129533,238518.0,267078.330334677,5.31034129533,143.12519604287,112.43274596077,6.72174705966
